,addr,busiNm,powerType,stat,statNm
184,서울특별시 마포구 마포대로1길 9,환경부,급속(400kW동시),2,마포공영주차장
185,서울특별시 중구 을지로 30,환경부,급속(200kW동시),2,롯데백화점 본점
186,서울특별시 중구 을지로 30,환경부,급속(200kW동시),2,롯데백화점 본점
187,서울특별시 중구 을지로 30,환경부,급속(200kW동시),2,롯데백화점 본점
188,서울특별시 중구 을지로 30,환경부,급속(200kW동시),2,롯데백화점 본점
189,서울특별시 성동구 광나루로4가길 23,환경부,급속(400kW동시),2,성수2가 공영주차장
190,서울특별시 성동구 광나루로4가길 23,환경부,급속(400kW동시),2,성수2가 공영주차장
191,서울특별시 성동구 광나루로4가길 23,환경부,급속(400kW동시),2,성수2가 공영주차장
192,서울특별시 성동구 광나루로4가길 23,환경부,급속(400kW동시),2,성수2가 공영주차장
193,서울특별시 서대문구 충정로2가 78-13,환경부,급속(100kW멀티),9,충현동 제1공영주차장
194,서울특별시 서대문구 남가좌2동 3-75,환경부,급속(100kW멀티),2,남가좌2동 공영주차장
195,서울특별시 서초구 반포동 49-8,환경부,급속(100kW멀티),2,미도아파트 앞 공영주차장
196,서울특별시 송파구 올림픽로 424 ,환경부,급속(100kW멀티),2,올림픽공원
197,서울특별시 송파구 백제고분로 242,환경부,급속(100kW멀티),5,구민회관
198,서울특별시 양천구 신정6동 322-5,환경부,급속(100kW멀티),2,문화회관동측 주차장
199,서울특별시 양천구 곰달래로10길 4,환경부,급속(100kW멀티),2,곰달래공영주차장
200,서울특별시 양천구 중앙로29길 41,환경부,급속(100kW멀티),2,다락골공영주차장
201,서울특별시 강남구 개포로 607,환경부,급속(100kW멀티),2,일원2동 주민센터
202,서울특별시 양천구 목동중앙로 25 ,환경부,급속(100kW멀티),2,목4동주민센터
203,서울특별시 영등포구 의사당대로 22,환경부,급속(100kW멀티),2,한국장애인개발원 본사
204,서울특별시 영등포구 영신로 10길 15,환경부,급속(100kW멀티),5,영등포본동제1(공영주차장)
205,서울특별시 마포구 성산로 128,환경부,급속(100kW멀티),2,마포중앙도서관
206,서울특별시 강남구 삼성로 628,환경부,급속(100kW멀티),2,강남구청 삼성로 별관 부설 주차장
207,서울특별시 용산구 한강대로 62다길 42,환경부,급속(100kW멀티),3,국방부 서문 주차장
208,서울특별시 강남구 광평로 126,환경부,급속(100kW멀티),5,일원본동 주민센터
209,null,환경부,급속(200kW동시),9,탄천물재생센터
210,null,환경부,급속(200kW동시),9,탄천물재생센터
211,서울특별시 노원구 노원로75,환경부,급속(200kW동시),3,한국원자력의학원 본사
212,서울특별시 노원구 노원로75,환경부,급속(200kW동시),3,한국원자력의학원 본사
213,서울특별시 마포구 성암로 197,환경부,급속(200kW동시),9,상암1 공영주차장
214,서울특별시 마포구 성암로 197,환경부,급속(200kW동시),9,상암1 공영주차장
215,서울특별시 마포구 매봉산로 80,환경부,급속(200kW동시),9,Park M (주차복합빌딩)
216,서울특별시 마포구 매봉산로 80,환경부,급속(200kW동시),2,Park M (주차복합빌딩)
217,서울특별시 서초구 양재동 301-6,환경부,급속(200kW동시),9,구룡공원 공영주차장
218,서울특별시 서초구 양재동 301-6,환경부,급속(200kW동시),9,구룡공원 공영주차장
219,서울특별시 서초구 양재동 237,환경부,급속(200kW동시),9,시민의숲동측 공영주차장
220,서울특별시 서초구 양재동 237,환경부,급속(200kW동시),2,시민의숲동측 공영주차장
221,서울특별시 성동구 성덕정길 115,환경부,급속(200kW동시),9,성수 2가1동 공영주차장
222,서울특별시 성동구 성덕정길 115,환경부,급속(200kW동시),9,성수 2가1동 공영주차장
223,서울특별시 성동구 무학봉15길 48,환경부,급속(200kW동시),9,하왕십리 공영주차장
224,서울특별시 성동구 무학봉15길 48,환경부,급속(200kW동시),9,하왕십리 공영주차장
225,서울특별시 성동구 둘레길 47-5,환경부,급속(200kW동시),2,강변 공영주차장
226,서울특별시 성동구 둘레길 47-5,환경부,급속(200kW동시),9,강변 공영주차장
